system,mesh,nk,energy,delta_mev_atom
alpha_fe_bulk,11x11x11,1331,-16.46432465,1.2350750000003075
alpha_fe_bulk,13x13x13,2197,-16.46469147,1.0516649999985361
alpha_fe_bulk,15x15x15,3375,-16.46528778,0.7535099999991246
alpha_fe_bulk,17x17x17,4913,-16.46629678,0.2490099999992168
alpha_fe_bulk,19x19x19,6859,-16.46665791,0.06844500000013909
alpha_fe_bulk,21x21x21,9261,-16.46676542,0.014689999998651615
alpha_fe_bulk,23x23x23,12167,-16.4667948,0.0
alpha_fe_bulk,9x9x9,729,-16.46429809,1.2483549999995347
