system,test,accepted_setting,reference_setting,metric,value,threshold,status,source
alpha_fe_bulk,encut,400_eV,600_eV,delta_meV_per_atom,0.321730,1.0,accepted,alpha_fe_bulk_encut.csv
alpha_fe_bulk,kmesh,15x15x15,23x23x23,delta_meV_per_atom,0.753510,1.0,accepted,alpha_fe_bulk_kmesh.csv
alpha_fe_bulk,smearing_relax,ISMEAR_1_SIGMA_0p10,ISMEAR_m5_TETRA,delta_sigma0_meV_per_atom,0.490310,1.0,accepted,alpha_fe_bulk_smearing.csv
alpha_fe_bulk,smearing_relax,ISMEAR_1_SIGMA_0p10,none,abs_entropy_meV_per_atom,0.238910,1.0,accepted,alpha_fe_bulk_smearing.csv
