layers,job,relax_steps,relax_max_free_force_eV_A,static_max_mobile_force_eV_A,surface_excess_J_m2,delta_vs_8layer_J_m2,top_gap_A,top_gap_change_percent,second_top_gap_A,max_layer_rumpling_A,fixed_layer_drift_A,status
4,9554558,9,0.006372,0.017081,2.397675,0.024608,1.974145,-2.604,2.015779,0.000000,0.000000,accepted_geometry
5,9554559,12,0.009768,0.026167,2.404948,0.031881,1.971785,-2.720,1.990831,0.000000,0.000000,accepted_geometry
6,9554560,17,0.015510,0.013856,2.389375,0.016308,1.972335,-2.693,1.990471,0.000000,0.000000,accepted_geometry
7,9554561,22,0.013805,0.027517,2.383676,0.010609,1.976554,-2.485,1.991278,0.000000,0.000000,accepted_geometry_borderline_energy
8,9554562,26,0.014760,0.019971,2.373067,0.000000,1.977385,-2.444,1.998566,0.000000,0.000000,accepted_high_accuracy_reference
