case,ismear,sigma_eV,finished,toten_eV,sigma0_eV,delta_vs_tetra_meV_atom,entropy_eV,abs_entropy_meV_atom,mag_cell_uB
ISMEAR_m5_TETRA,-5,0.05,True,-16.46494602,-16.46494602,0.0,0.0,0.0,4.4805
ISMEAR_0_SIGMA_0p05,0,0.05,True,-16.4654923,-16.46396987,0.4880749999998102,-0.00304485,1.522425,4.4785
ISMEAR_0_SIGMA_0p10,0,0.1,True,-16.46989891,-16.46414679,0.39961499999918715,-0.01150424,5.752120000000001,4.4853
ISMEAR_0_SIGMA_0p20,0,0.2,True,-16.486128,-16.46547626,0.26511999999989655,-0.04130349,20.651745,4.4884
ISMEAR_1_SIGMA_0p10,1,0.1,True,-16.46412467,-16.4639654,0.4903099999999938,-0.00047782,0.23891,4.4826
ISMEAR_1_SIGMA_0p20,1,0.2,True,-16.46527905,-16.46439681,0.27460499999953925,-0.00264674,1.32337,4.4811
ISMEAR_1_SIGMA_0p30,1,0.3,True,-16.46593197,-16.46611889,0.5864350000006624,0.00056076,0.28038,4.4712
ISMEAR_2_SIGMA_0p20,2,0.2,True,-16.46461956,-16.46391085,0.5175849999989879,-0.00283482,1.41741,4.4864
