image,MatRIS_relative_eV,NEB_force_eVA,CC_A,CO_A,OH_A,H50_Fe39_A,H50_Fe40_A,C1_nearest_Fe,C1_Fe_A,C2_nearest_Fe,C2_Fe_A,O_nearest_Fe,O_Fe_A,H50_nearest_Fe,H50_Fe_A,min_pair_A,max_adjacent_atom_step_A
00,0.0,0.0,1.4108502248310721,1.2914238434181853,3.9010449503930507,3.2880133053904737,1.7847304768476893,42,2.0589970696850304,37,2.013715263016876,39,2.0392630258608735,41,1.7569818137664166,1.0990756067577307,0.0
01,-0.013613700866699219,0.07808652982480682,1.4154040865909863,1.2844976197659232,3.782358128548063,3.1316418942321946,1.8924745844942925,42,2.0450817174892637,42,2.034266757736417,39,2.0946146516308968,38,1.7335299479171216,1.1000283966673663,0.18898795796576973
02,0.02486705780029297,0.06089445252593758,1.4152947289073121,1.284317410467383,3.591237303740252,2.9512431142181876,2.0995022026600485,42,2.0487167588257984,42,2.039787507647842,39,2.0967240916790293,38,1.700991644372824,1.1005080565424932,0.21540771806363748
03,0.06966590881347656,0.05279971821233542,1.415932361441027,1.2832070587890836,3.4076561139683106,2.7767807073149755,2.3163743655026745,42,2.0536836792249717,37,2.0422290668853185,39,2.10076218879556,38,1.6839297512685554,1.1010228959019581,0.20323403397566014
04,0.10058879852294922,0.05112741870298309,1.4167578201156212,1.2827300282436118,3.2288697358872893,2.5927565275263857,2.5245224623049625,42,2.054846385081665,37,2.0384648599964366,39,2.1049363454693903,38,1.6781919560852196,1.101063742489181,0.20141530789816345
05,0.10142326354980469,0.059744324920836395,1.417839314282804,1.2824942342811558,3.062548108807262,2.3930331429575578,2.7126808334846317,42,2.0576910291383714,37,2.032321274105329,39,2.108378538852979,38,1.6797579025211087,1.1005942911392042,0.1995886764072302
06,0.06957054138183594,0.055174683765306924,1.4181404895333691,1.2819879536800842,2.9157051836282557,2.1798785988951326,2.888125793659813,42,2.0589290064816756,37,2.0252729486940653,39,2.1168318075744583,38,1.6877383415502454,1.1007235606200332,0.20285140281046785
07,0.011229515075683594,0.08810389284616749,1.4195669799642616,1.2807676342760212,2.7855881822246347,1.959803942429324,3.0650759588952807,42,2.057291024214651,37,2.0174698122367167,39,2.132500826993462,38,1.708298745519876,1.100431293847366,0.21781925899449991
08,0.048661231994628906,0.0,1.4151613833308918,1.284167189616239,2.6693362548236284,1.8217332982150134,3.214591217306816,40,2.0564852577063015,37,1.9730128518803534,39,2.0898544613264614,38,1.7156818990479994,1.1003682685417,0.18560918545769325
