index_zero,atom_one,species,z_A,fixed,m_9752745_muB,m_9754301_muB,delta_m_muB,force_old_eVA,force_new_eVA,force_difference_eVA
20,21,Fe,11.493502973201407,False,2.173,2.042,-0.13100000000000023,0.024742262002492823,0.07101857015598104,0.0762810250193323
21,22,Fe,11.48702358589453,False,2.153,2.073,-0.08000000000000007,0.017228252203865604,0.20609716833814093,0.21442918620607598
22,23,Fe,11.49221052502186,False,2.239,2.179,-0.06000000000000005,0.05345447426549063,0.24843690355903247,0.25269817634680314
23,24,Fe,11.488208617594536,False,2.203,2.046,-0.15700000000000003,0.03497030983563056,0.09681984730931979,0.06885163847723597
24,25,Fe,11.493927459916346,False,2.191,2.074,-0.11699999999999999,0.013871798153087436,0.1353035586154333,0.1246989012221038
25,26,Fe,11.487238396489573,False,2.162,2.025,-0.137,0.04430254279383972,0.10976780641426702,0.1366334363360594
26,27,Fe,11.49330650420203,False,2.181,2.038,-0.14300000000000024,0.013477048378632466,0.10108085736181703,0.10546623324078659
27,28,Fe,13.463424224492035,False,2.278,2.297,0.019000000000000128,0.05907246953530892,0.0662532381170913,0.06611342842418626
28,29,Fe,13.485445149979975,False,2.28,2.326,0.04600000000000026,0.1064127875445428,0.04474314298303149,0.0810682937836982
29,30,Fe,13.476865415562502,False,2.238,2.296,0.05799999999999983,0.10391415512816336,0.0607635436178635,0.07412421148990389
30,31,Fe,13.507746740897268,False,2.267,2.335,0.06800000000000006,0.060044608783803397,0.07386118621441169,0.08274680591418619
31,32,Fe,13.476121818536134,False,2.198,2.275,0.07699999999999996,0.0606751714789501,0.020308090555244233,0.07064284814473437
32,33,Fe,13.473135227088584,False,2.232,2.294,0.06199999999999983,0.04523182359799348,0.056209130254790456,0.06713573896219509
33,34,Fe,13.48265917086566,False,2.302,2.359,0.05699999999999994,0.05284913808190252,0.051304285542242964,0.10233546694572708
34,35,Fe,13.460914964035414,False,2.259,2.322,0.06300000000000017,0.08798282317020749,0.029922365982655852,0.11571188489087886
35,36,Fe,13.499989240264904,False,2.235,2.316,0.08099999999999996,0.09497464252104347,0.010507610480028275,0.09954998129582948
36,37,Fe,15.404444413584487,False,1.759,1.815,0.05600000000000005,0.22106495289394018,0.28362948716238934,0.06299545728066429
37,38,Fe,15.443212056660652,False,2.323,2.354,0.03100000000000014,0.06011353419987881,0.09871270006437875,0.06551023564298941
38,39,Fe,15.600347348539414,False,2.403,2.442,0.039000000000000146,0.09415165909318858,0.12265484053228393,0.02974432863589293
39,40,Fe,15.518011077516933,False,2.41,2.427,0.016999999999999904,0.13609164784805863,0.19214071910711691,0.06470035951213873
40,41,Fe,15.43476349292501,False,2.372,2.408,0.03600000000000003,0.10711602201818363,0.11684793234798808,0.0630686373168154
41,42,Fe,15.409463996095889,False,1.853,1.876,0.02299999999999991,0.1562133484789312,0.18441825531383815,0.05143855933052558
42,43,Fe,15.488184427390332,False,2.699,2.724,0.025000000000000355,0.10082011217014193,0.15667795808281393,0.06662958562830777
43,44,Fe,15.46610674321304,False,2.578,2.612,0.03400000000000025,0.05496755957835494,0.06263070468228824,0.07615105075440522
44,45,Fe,15.488093472902225,False,2.67,2.696,0.026000000000000245,0.1048111892977081,0.1472224744969327,0.05007051896076174
45,46,C,16.86339936944798,False,-0.046,-0.045,0.0010000000000000009,0.11869932108483182,0.11961988690013044,0.03927097648391238
46,47,C,16.828950632295353,False,-0.057,-0.059,-0.001999999999999995,0.352661193857504,0.3628693400151079,0.020582847081975813
47,48,O,17.57456269850383,False,-0.006,-0.002,0.004,0.1696362410659939,0.16318257876685244,0.013519455388439284
48,49,H,17.809451900877242,False,0.003,0.003,0.0,0.06562813212335088,0.07162858257706906,0.008619446733984723
49,50,H,16.589961688863635,False,-0.026,-0.027,-0.0010000000000000009,0.07718010684755496,0.08148058485921662,0.007716573203177693
